Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bahrain,BHR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,16.26715406,16.07442566,16.46237135,16.90050639,17.3345396,17.7611453,18.18370212,18.60378816,19.01528324,19.4063346,19.77777778,20.03708707,20.17558237,20.29933753,20.42931254,20.5111448,20.59067261,20.68245214,20.8047985,20.97579774,21.27976403,20.83559702,20.58849826,20.82610581,21.45511675,21.51271769,20.94162901,20.46240096,20.5084531,20.61212606,20.69248511,21.14764067,21.27658348,21.17459235,21.27647667,21.28052202
"Bahamas, The",BHS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.11196494,45.18240507,45.26363275,45.34821868,45.43542118,45.67350916,45.90686743,46.13148236,46.34986759,46.55544698,46.76136069,46.95879993,47.1494281,47.35502307,47.56882066,47.77639147,47.99856725,48.2358207,48.45669166,48.66685913,48.87747355,49.07459444,49.24981053,49.41468086,49.57734516,49.73941266,49.90293399,50.06738837,50.23217454,50.38473795,50.40830998,50.59817345,50.45010438,50.61116303,50.71260369,50.7152501
Bosnia and Herzegovina,BIH,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,39.68653673,39.80809923,40.22102021,40.79807037,41.2928907,41.37964054,41.31211651,41.32100655,41.29745231,41.35061216,41.40435547,41.40185456,41.52583654,41.51445311,41.5562578,41.55331091,41.64342005,41.70343409,41.75578555,41.71465131,41.75602733,41.52756583,41.51672799,41.5156382,41.42520734,41.40603287,41.39150139,41.47238582,41.51203511,41.60404969,41.53363153,41.63406348,41.89304011,42.45714737,42.43387477,42.43880281
Belarus,BLR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,48.68152757,48.60007941,48.41570346,48.28860566,48.3155399,48.38170238,48.38745434,48.44832061,48.54263511,48.65728366,48.86063049,49.04440267,49.19442137,49.32092463,49.41008041,49.48543608,49.56369463,49.61912729,49.65511675,49.66707204,49.67391114,49.69595996,49.71905212,49.71604267,49.70135848,49.67754997,49.6439494,49.42859601,49.03627025,49.31174239,49.16168823,49.31055094,49.17558508,49.10525902,49.16781375,49.15342499
Belize,BLZ,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,29.18099628,29.62314061,30.10781312,30.33789688,30.31625723,30.97789434,31.63362197,32.30952,33.22790483,32.95746953,33.27143587,33.57553773,33.88365284,34.20247603,34.52357467,34.84976343,35.18084592,35.51581385,35.8506175,36.18712462,36.4668977,36.69139522,36.92386988,37.15872249,37.33096014,37.75695031,38.12576653,37.85677343,40.04336968,40.84503334,37.89231913,38.78580615,37.28025032,38.08372846,38.40091449,39.18040437
Bermuda,BMU,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,41.0486139,41.19776467,41.2492807,41.41878842,41.60893969,41.78064841,41.92497621,42.07297466,41.95147321,41.83905697,41.73739743,41.65330654,41.62754348,41.65318862,41.68259807,41.71439837,41.7472582,41.78281978,41.81968233,41.85624368,41.89269688,41.92944011,41.9679647,42.00575948,42.04416414,42.08265943,42.12145294,42.95185853,44.16983633,44.59057537,44.98757669,45.7911397,45.99872899,46.41934163,46.41430371,46.5539247
Brazil,BRA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,34.74816874,34.80055551,35.54438826,36.29159447,37.03717275,37.77917129,37.82276522,38.13065282,38.69125344,39.32884374,40.02588178,40.75398752,41.42124999,41.64208447,42.02465552,42.52770208,42.52551405,42.60413844,42.51036487,42.7818405,42.44004017,42.08509445,41.89089341,41.92910632,42.03309755,42.37544416,42.53753481,43.05577049,43.26773307,43.59629345,42.58161002,43.0075756,43.42081906,43.32458614,43.34888382,43.3652105
Barbados,BRB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,46.57824143,46.80012493,47.08182197,47.2042995,47.33750951,47.66945535,48.44481737,47.94994542,48.05884148,48.15730369,48.2144241,48.28378975,48.40123954,48.50650111,48.60876811,48.75872195,48.91776631,49.08658775,49.26047958,49.42791762,49.54032098,49.61072037,49.26602506,49.5824525,50.39227682,49.84409739,49.96661904,49.84780057,49.44500572,49.992631,49.83110891,49.77856817,49.25649455,49.53588782,49.73763735,49.6656114
Brunei Darussalam,BRN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,31.37817257,31.14837265,31.7584081,32.36218736,32.96120217,33.55131934,34.14216281,34.73815107,35.33287983,35.92509154,36.51238416,37.07776416,37.32078826,37.55982692,37.79617045,38.03890362,38.29418792,38.67443476,39.15339703,39.60739452,40.03877997,40.37513085,40.54754288,40.64306147,40.74464365,40.85045344,40.96093023,41.07877537,40.44546939,39.51142815,39.55734855,39.8265481,38.96253527,39.42036398,39.51483917,39.52843798
